Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Avg. seconds,Avg. minutes
San Francisco Rent Board : Topic No. 051: This Year's Annual Allowable Increase,16654,13784,0:02:02,7497,69.95,49.93,122,2.03
San Francisco Department of Emergency Management : EMS Agency,16615,11562,0:00:24,7160,26.79,18.31,24,0.4
City and County of San Francisco : Fair Chance Ordinance (FCO),16608,13130,0:02:22,9864,74.28,57.92,142,2.37
San Francisco Police Department : Mission Station,16585,14564,0:00:59,6520,78.67,44.09,59,0.98
Mayor's Office of Housing and Community Development : Below Market Rate Ownership Overview,16562,13213,0:01:35,2910,73.64,34.81,95,1.58
San Francisco Port Department : About Us,16496,6526,0:00:27,2173,9.07,19.06,27,0.45
SFGov : Department of Technology,16445,13583,0:01:22,12758,70.79,63,82,1.37
City and County of San Francisco : Fees,16438,11561,0:00:20,1081,34.78,8.75,20,0.33
City and County of San Francisco : Voting,16283,11869,0:01:00,3975,55.42,32.39,60,1
Mayor's Office of Housing and Community Development : New BMR Units: 1688 Pine Street (Rockwell),16213,11965,0:04:29,9496,67.87,59.97,269,4.48
San Francisco Rent Board : Topic No. 151: Subletting and Replacement of Roommates,16202,13534,0:02:50,7326,74.12,48.43,170,2.83
San Francisco Police Department : Redirect,16143,16077,0:01:27,16048,99.56,99.34,87,1.45
Mayor's Office of Housing : Current Homeownership Listings,15989,12333,0:00:37,4246,65.45,30.12,37,0.62
Board of Supervisors : Mark Farrell,15943,12180,0:00:49,5256,55.75,28.84,49,0.82
Board of Supervisors,15935,7217,0:00:55,3178,76.87,19.6,55,0.92
Office of the Mayor : News Releases,15877,11287,0:00:54,3985,54.86,29.48,54,0.9
City and County of San Francisco : Soft Story,15790,12170,0:03:54,11290,75.92,70.08,234,3.9
City and County of San Francisco : Office of Small Business,15770,11230,0:01:09,8853,40.43,34.31,69,1.15
Mayor's Office of Housing and Community Development : Search,15755,14760,0:01:36,3596,88.54,44.82,96,1.6
"City and County of San Francisco : Data, Results, Maps",15721,10268,0:01:25,1466,70.6,32.47,85,1.42
San Francisco Port Department,15671,5446,0:00:16,4302,0.12,24.93,16,0.27
Mayor's Office of Housing : Homebuyers,15600,12118,0:01:16,5679,60.71,37.19,76,1.27
San Francisco Port Department : Pier 70 Area,15563,6985,0:00:27,5700,27.07,29.29,27,0.45
Mayor's Office of Housing and Community Development : New BMR Units: 400 Grove Street,15444,12429,0:02:36,5444,76.4,46.56,156,2.6
City and County of San Francisco : Birth & Death,15368,11001,0:00:12,1210,33.39,6.34,12,0.2
San Francisco 311 : Search,15305,14511,0:01:21,1702,92.89,45.89,81,1.35
San Francisco Port Department : James R. Herman Cruise Terminal Project at Pier 27,15289,8047,0:00:38,7457,23.15,46.9,38,0.63
Board of Supervisors : David Campos,15273,11499,0:00:46,4990,53.33,28.57,46,0.77
City and County of San Francisco : Office of the Medical Examiner,15264,9782,0:00:55,9036,33.7,34.16,55,0.92
Board of Supervisors : Eric Mar,15206,11269,0:00:49,3840,53.59,22.75,49,0.82
Office of the Mayor : Redirect,15147,14915,0:00:59,14881,98.18,97.72,59,0.98
City and County of San Francisco : Births & Deaths,15057,10397,0:00:12,1100,35.91,6.16,12,0.2
Marriage | Office of the County Clerk,15000,8310,0:00:18,726,14.41,4.48,18,0.3
San Francisco Police Department : Northern Station,14983,12942,0:00:51,5646,78.52,42.61,51,0.85
San Francisco 311 : Assessor-Recorder - Owner of Property in San Francisco - 106765,14976,10716,0:02:31,10101,70.17,65.65,151,2.52
San Francisco Department of Human Resources : Employee Leaves,14931,12274,0:03:28,5924,75.76,56.68,208,3.47
Residents | Welcome,14861,9049,0:00:21,2767,38.29,18.18,21,0.35
City and County of San Francisco : LBE Certification,14780,11885,0:00:44,5621,30.14,18.71,44,0.73
San Francisco Public Works : Contractor Resources,14759,6807,0:00:36,4012,14.33,32.43,36,0.6
Board of Supervisors : District Information,14676,11249,0:01:33,3452,68.08,36.09,93,1.55
Application For Report of Residential Building Record | Department of Building Inspection,14563,11488,0:03:48,8514,68.97,68.37,228,3.8
City and County of San Francisco : Services,14531,10024,0:00:14,1640,32.38,9.1,14,0.23
Customer Service | Treasurer & Tax Collector,14485,9221,0:01:29,774,47.62,27.32,89,1.48
San Francisco Public Works : Applications and Documents,14465,6144,0:00:54,3157,15.65,26.65,54,0.9
Mayor's Office of Housing and Community Development : New BMR Units: 1875 Mission Street (M@1875),14450,11401,0:02:53,5426,76.5,50.55,173,2.88
San Francisco Police Department : Administration,14430,11817,0:00:41,3712,78.85,29.2,41,0.68
City and County of San Francisco : Dog License Information,14407,11995,0:02:58,10149,69.53,64.34,178,2.97
San Francisco Port Department : ImPark Cruise Page 2012,14335,5920,0:00:45,3695,5.2,30.62,45,0.75
Animal Care & Control,14309,10184,0:00:47,9453,14.59,22.38,47,0.78
Mayor's Office of Housing and Community Development : Housing Email Alert Subscription,14291,12360,0:02:15,4225,76.24,43.88,135,2.25
San Francisco 311 : Redirect,14273,14011,0:01:24,13941,97.88,97.14,84,1.4
Department of Child Support Services,14222,11218,0:00:53,9792,31.39,33.34,53,0.88
Mayor's Office of Housing and Community Development : BMR LEP Units: The SF Shipyard,14118,11222,0:05:02,9177,69.87,63.86,302,5.03
San Francisco Department of Human Resources : Public Posting of Pending Actions,14035,11852,0:01:40,2451,80.17,45.7,100,1.67
San Francisco Police Department : Application and Selection Procedures,13880,12465,0:03:16,3961,71.9,51.95,196,3.27
San Francisco 311 : Garbage & Graffiti,13786,10186,0:00:21,1973,47.09,12.11,21,0.35
Mayor's Office of Housing and Community Development : Downpayment Assistance Loan Program (DALP),13751,11946,0:03:50,8302,79.64,66.29,230,3.83
San Francisco Police Department : Tenderloin Station,13707,11562,0:00:56,4680,81.84,41.48,56,0.93
How to Read Your Property Tax Bill | Treasurer & Tax Collector,13617,12309,0:01:31,5633,76.19,48.85,91,1.52
San Francisco Port Department : Street Performer Program,13608,7191,0:01:02,6198,42.03,49.11,62,1.03
City and County of San Francisco : City Hall Tours,13581,11076,0:01:32,4860,73.72,50.01,92,1.53
San Francisco Port Department : Ace Parking,13563,5961,0:00:40,4652,5.91,29.73,40,0.67
City and County of San Francisco : Frequently Asked Questions,13558,11548,0:01:59,4814,77.61,52.49,119,1.98
San Francisco Police Department : Operations,13550,11005,0:00:33,2636,87.1,24.31,33,0.55
City and County of San Francisco : Office of Contract Administration (OCA),13345,8518,0:01:05,7269,43.57,35.55,65,1.08
San Francisco 311 : Abandoned Vehicles,13216,10704,0:02:38,9585,79.8,74.88,158,2.63
Department on the Status of Women,13176,9835,0:01:14,7867,37.91,35.11,74,1.23
San Francisco Public Works : Organizational Chart,13156,6023,0:00:32,1888,11.81,22.44,32,0.53
"Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 21 Clarence Place, Unit 211",13124,10073,0:03:47,8819,75.98,67,227,3.78
San Francisco Police Department : Special Operations,13066,10758,0:00:35,2261,90.49,24.87,35,0.58
"Department of Children, Youth and Their Families : Employment Opportunities",13041,5232,0:01:57,2996,65.7,34.48,117,1.95
City and County of San Francisco : Alemany Farmers' Market,13035,10739,0:01:59,10437,75.39,72.4,119,1.98
San Francisco Police Department : Bayview Station,13025,11278,0:00:52,4415,84.33,40.08,52,0.87
Controller : PPSD Home Page,12967,11920,0:02:08,10637,87.26,80,128,2.13
San Francisco Police Department : General Information and Qualifications,12868,10654,0:01:19,3016,27.92,21.18,79,1.32
Board of Supervisors : Assessment Appeals,12839,10257,0:03:01,9065,68.47,58.37,181,3.02
San Francisco Port Department : Maps and Public Webcams,12808,4073,0:00:19,1309,9.47,12.93,19,0.32
Plan Review Services | Department of Building Inspection,12777,8961,0:00:42,1808,43.49,18.3,42,0.7
San Francisco Port Department : 2016 Cruise Schedule,12771,5914,0:00:39,3388,17.77,34.15,39,0.65
Home | Fire Department,12762,9486,0:01:01,7876,27.13,27.9,61,1.02
Office of the Mayor : Internship Program,12759,8309,0:01:39,6832,58.02,48.19,99,1.65
City and County of San Francisco : Mayor's Office on Disability,12629,8317,0:02:09,7025,51.46,39.15,129,2.15
San Francisco Police Department : Taraval Station,12587,10746,0:00:56,4801,80.5,43.69,56,0.93
San Francisco Public Works : Sidewalk Landscaping Permits,12586,4608,0:01:01,3034,13.58,27.21,61,1.02
City and County of San Francisco : Documents,12585,9510,0:00:54,1088,58.31,21.05,54,0.9
Visit Treasure and Yerba Buena Islands | Treasure Island Development Authority,12568,9945,0:00:44,6832,36.88,33.33,44,0.73
Board of Supervisors : John Avalos,12561,8943,0:00:47,3203,52.42,26.42,47,0.78
San Francisco Police Department : Park Station,12556,10857,0:00:48,4608,82.4,41.76,48,0.8
San Francisco Rent Board : Topic No. 201: Overview of Just Cause Evictions,12528,10877,0:01:53,2598,69.86,30.37,113,1.88
San Francisco Public Works : Graffiti,12514,5809,0:00:39,4392,25.96,36.89,39,0.65
SFGov,12436,9722,0:01:04,5787,81.41,46.81,64,1.07
City and County of San Francisco : Forms - Fictitious Business Name,12397,8507,0:02:39,531,63.84,40.19,159,2.65
Quarterly Filing | Treasurer & Tax Collector,12318,7643,0:01:46,1152,24.59,18.12,106,1.77
City and County of San Francisco : C. Covered Employees,12280,9445,0:03:18,2039,57.92,41.44,198,3.3
San Francisco Port Department : 2015,12272,4198,0:00:08,357,3.36,5.27,8,0.13
Film Commission : Redirect,12261,11812,0:01:20,11782,95.84,94.99,80,1.33
City and County of San Francisco : Vendor Information,12245,8631,0:01:00,1558,35.69,18.37,60,1
San Francisco Public Works : Street Tree Removal Permitting Process,12178,6284,0:00:59,4810,24.55,41.12,59,0.98
Board of Supervisors : Norman Yee,12174,8920,0:00:42,2931,51.86,22.41,42,0.7
Most Requested | Department of Building Inspection,12172,9241,0:00:57,1899,53.82,32.45,57,0.95
Board of Supervisors : Land Use and Transportation Committee,12139,9013,0:02:01,5849,77.16,57.25,121,2.02
San Francisco 311 : Transportation,12091,9716,0:00:25,2084,54.51,17.89,25,0.42
San Francisco Law Library : Redirect,12076,11847,0:00:56,11830,97.55,97.1,56,0.93
San Francisco Department of Human Resources : Employee Training,12061,8708,0:00:38,2929,47.12,21.03,38,0.63
US Passport | Treasurer & Tax Collector,12017,9434,0:04:17,8047,67.58,69.4,257,4.28
San Francisco Ethics Commission: Campaign Finance Filings and Data,11879,9085,0:03:05,2417,57.47,56.46,185,3.08
Mayor's Office of Housing and Community Development : Documents Governing and Explaining the Inclusionary Housing Program,11875,9776,0:02:35,4181,75.77,48.51,155,2.58
Juvenile Probation Department,11837,8106,0:00:59,6788,30.94,31.05,59,0.98
Board of Appeals,11825,8900,0:00:47,7135,23.57,22.45,47,0.78
San Francisco 311 : San Francisco 311 Agency CRM Links,11741,9608,0:06:00,9427,85.85,79.98,360,6
How To Get Here | Treasure Island Development Authority,11735,9125,0:01:47,6299,70.12,57.78,107,1.78
Controller : Getting Started with eMerge PeopleSoft,11706,10148,0:04:19,9661,90.9,81.98,259,4.32
Administrative Services | Department of Building Inspection,11639,8533,0:01:13,2482,45,26.47,73,1.22
San Francisco Police Department : Chief Of Police,11632,9625,0:00:45,1989,90.6,27.11,45,0.75
San Francisco : Help,11619,8976,0:01:16,5481,63.46,50.13,76,1.27
Submitted Street Space Site Meeting Request,11619,11217,0:06:21,6593,84.38,60.98,381,6.35
"Mayor's Office of Housing and Community Development : BMR Re-Rental Units: 8 10th Street, Units 311, 323, 511, 1427",11577,8908,0:03:44,7821,71.35,64.3,224,3.73
San Francisco Port Department : Permit Services,11572,4289,0:00:44,1698,7.36,25.7,44,0.73
San Francisco Police Department : Richmond Station,11553,9725,0:00:46,3909,80.89,40.15,46,0.77
City and County of San Francisco : Directions to City Hall,11482,9804,0:03:08,8041,80.16,74.32,188,3.13
Public Auction Sales of Tax-Defaulted Property | Treasurer & Tax Collector,11459,8746,0:03:15,7517,69.47,66.18,195,3.25
City and County of San Francisco : Deputy Marriage Commissioner for a Day,11382,9807,0:02:02,3243,76.5,44.01,122,2.03
"Mayor's Office of Housing and Community Development : BMR New Rental Units: 529 Stevenson Street/550 Jesse Street, 9 Studio Units",11368,9179,0:03:25,6803,68.48,59.76,205,3.42
San Francisco Rent Board : Topic No. 154: Limits on Rent Charged By Master Tenants,11327,10110,0:02:05,4252,78.27,43.13,125,2.08
Board of Supervisors : Budget & Finance Committee Meetings,11314,6628,0:01:28,1351,83.12,32.25,88,1.47
Board of Supervisors : About the Board,11306,8918,0:00:34,1478,52.84,18.32,34,0.57
San Francisco Rent Board : Fact Sheet 4 - Eviction Issues,11294,10005,0:04:43,5453,72.62,58.51,283,4.72
Mayor's Office of Housing and Community Development : Income Limits and Rent Limits for Below Market Rate Rental Units,11272,9428,0:02:07,4669,70.31,49.74,127,2.12
Office of Citizen Complaints,11140,8257,0:01:01,6989,29.63,31.91,61,1.02
"Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 2235 3rd Street, Unit E408 (Potrero Launch)",11065,9028,0:02:59,7388,77.52,63.98,179,2.98
"Mayor's Office of Housing and Community Development : BMR: Re-Rental Unit: 2235 3rd Street, Unit E221",11050,8944,0:03:02,7272,76.17,64.51,182,3.03
Board of Supervisors : Legislative Research Center (LRC),11035,8236,0:01:41,3747,48.95,42.58,101,1.68
San Francisco Police Department : Chief Of Staff,11022,9147,0:00:35,2546,83.9,26.36,35,0.58
San Francisco Fire Department : Search,10982,10200,0:00:55,1281,88.6,28.84,55,0.92
What is Human Trafficking? | Human Rights Commission,10921,9466,0:05:41,9440,87.46,85.87,341,5.68
Board of Supervisors : Newsletter,10888,8518,0:01:37,2699,70.03,40.42,97,1.62
San Francisco Department of Human Resources : Citywide Classification Based Examination Plan for Fiscal Year 2014/15,10887,8993,0:02:18,3350,60.93,40.2,138,2.3
City and County of San Francisco : Sanctuary Ordinance,10883,9047,0:01:57,8822,72.82,68.52,117,1.95
San Francisco Public Works : Street Tree Planting Permitting Process,10883,5017,0:01:01,2985,16.08,33.83,61,1.02
San Francisco Police Department : Most Wanted,10878,8015,0:02:01,5366,59.22,45.3,121,2.02
San Francisco Police Department : Towed Vehicle Information,10822,9807,0:04:28,9195,85.88,82.06,268,4.47
San Francisco Port Department : James R. Herman Cruise Terminal at Pier 27,10818,5175,0:00:34,3838,26.39,36.37,34,0.57
San Francisco Department of Emergency Management : Policy & Protocol Manuals,10748,7869,0:02:09,5238,65.78,53.11,129,2.15
San Francisco Department of Human Resources : About DHR,10742,9006,0:00:35,3660,29.81,18.45,35,0.58
San Francisco Public Works : Don't Leave it on the Sidewalk!,10724,6119,0:00:49,5189,39.68,49.07,49,0.82
2014_San_Francisco_Business_Gross_Receipts_Tax_Worksheet.pdf | Treasurer & Tax Collector,10703,6588,0:02:09,468,32.69,18.89,129,2.15
Gross Receipts Tax | Treasurer & Tax Collector,10701,7718,0:00:26,457,16.19,4.23,26,0.43
San Francisco 311 : San Francisco Victim Services,10687,8849,0:02:16,8796,75,72.56,136,2.27
Mayor's Office of Housing : Multi-Family Units: 280 Beale Street,10666,8758,0:04:04,7047,82.6,71.36,244,4.07
San Francisco : San Francisco Municipal Transportation Agency,10622,8791,0:01:50,7753,78.31,74.87,110,1.83
San Francisco Rent Board : Fact Sheet 7 - Annual Allowable Rent Increases and Banked Rent Increases,10615,9357,0:04:44,6261,73.71,62.99,284,4.73
"Special Events: Unique Venues, Million Dollar Views | Treasure Island Development Authority",10613,7044,0:01:16,2841,54.4,36.92,76,1.27
City and County of San Francisco : D. Calculating Health Care Expenditures,10561,7839,0:03:41,1758,53.36,38.27,221,3.68
San Francisco Police Department : Ingleside Station,10532,9139,0:00:51,3219,84.41,39.57,51,0.85
San Francisco Department of Human Resources : Citywide Classification Based Examination Plan for Fiscal Year 2015/2016,10531,8911,0:02:42,3433,65.42,44.03,162,2.7
Mayor's Office of Housing : Housing Home,10449,8202,0:00:45,4091,45.07,26.06,45,0.75
Permit Process & Issuance | Department of Building Inspection,10443,7788,0:01:13,383,63.21,24.53,73,1.22
City and County of San Francisco : Declaration of Domestic Partnership,10418,7963,0:02:07,5141,55.42,43.53,127,2.12
San Francisco Port Department : Agendas and Minutes,10366,4104,0:00:05,906,1.77,3.96,5,0.08
Inspection Services Divisions | Department of Building Inspection,10237,8337,0:01:28,4297,49.31,36.73,88,1.47
San Francisco Port Department : Executive Staff,10213,4633,0:00:44,2671,14.64,30.65,44,0.73
San Francisco 311 : Parking in San Francisco,10153,8583,0:01:39,4856,70.18,62.12,99,1.65
City and County of San Francisco : Formula Retail Employee Rights Ordinances,10146,8120,0:04:36,5586,79.11,70.26,276,4.6
San Francisco Department of Human Resources : Redirect,10132,9728,0:00:55,9711,95.34,94.38,55,0.92
Mayor's Office of Housing and Community Development : Multifamily Units: 217 Eddy Street - Franciscan Towers,10131,8328,0:02:49,5519,79.36,60.73,169,2.82
SFERS : Forms & Publications,9995,7832,0:00:36,3329,94.05,40.28,36,0.6
Residential Leasing: The City's Newest Neighborhood | Treasure Island Development Authority,9954,7763,0:01:48,6516,68.65,63.65,108,1.8
